Jugadora,Mes,Fecha,Tipo,DistTotal_m,DistAltaVel_m,Sprints,Acel_Alta,Decel_Alta,CargaMetabolica,DistPorMin
Amaiur Putellas Sampedro,October,2025-10-22,E,6384,379,5,40,30,7980,85.13
Garazi Gil Padrón,October,2025-10-22,E,6396,536,1,35,10,7995,85.29
Adriana Putellas Coll,October,2025-10-22,E,7585,803,7,56,48,9481,101.14
Lola Zubeldia Ojeda,October,2025-10-22,E,7061,578,7,45,18,8826,94.15
Berta Damaris Zubeldia,October,2025-10-23,E,2522,294,4,49,26,3152,33.63
Triana Duggan Cano,October,2025-10-23,E,5153,344,0,19,21,6442,68.72
Feller Caldentey Rubio,October,2025-10-23,E,5887,373,2,51,59,7359,78.5
Olga Sampedro Méndez,October,2025-10-23,E,5416,503,4,42,10,6770,72.22
Esther Banini Valls,October,2025-10-23,E,5222,272,4,36,20,6528,69.64
Amaia Gutiérrez Peña,October,2025-10-23,E,7578,839,4,34,25,9473,101.05
Lucía Rodríguez Szymanowski,October,2025-10-23,E,7643,457,0,23,13,9554,101.91
Sheila Vidal Gabarro,October,2025-10-23,E,6642,549,3,58,26,8303,88.57
Enith Landaluze Goiria,October,2025-10-23,E,7642,611,4,28,51,9553,101.9
Lorena Méndez Molina,October,2025-10-23,E,5028,481,1,46,11,6285,67.04
Ivana Pujol Muñoz,October,2025-10-23,E,7469,848,6,48,28,9337,99.6
Garazi Iraia Díaz,October,2025-10-23,E,7481,728,6,27,56,9351,99.75
Enith Urruzola Elexpuru,October,2025-10-23,E,7009,431,1,15,59,8761,93.46
Amaiur Putellas Sampedro,October,2025-10-23,E,7588,433,6,28,15,9485,101.18
Garazi Gil Padrón,October,2025-10-23,E,7155,804,0,36,16,8944,95.41
Adriana Putellas Coll,October,2025-10-23,E,7391,554,6,22,54,9238,98.55
Lola Zubeldia Ojeda,October,2025-10-23,E,6482,392,0,48,38,8102,86.43
Inés Rius Badiola,October,2025-10-24,E,2169,118,4,45,14,2711,28.92
Berta Damaris Zubeldia,October,2025-10-24,E,2495,256,3,59,52,3118,33.27
Triana Duggan Cano,October,2025-10-24,E,5114,541,4,55,39,6392,68.19
Esther Banini Valls,October,2025-10-24,E,5289,499,0,10,58,6611,70.53
Amaia Gutiérrez Peña,October,2025-10-24,E,6966,603,0,12,14,8707,92.88
Lucía Rodríguez Szymanowski,October,2025-10-24,E,6868,739,3,57,17,8586,91.59
Sheila Vidal Gabarro,October,2025-10-24,E,7180,717,0,34,17,8975,95.74
Enith Landaluze Goiria,October,2025-10-24,E,7178,716,2,43,40,8973,95.71
Lorena Méndez Molina,October,2025-10-24,E,5130,360,3,46,59,6413,68.41
Ivana Pujol Muñoz,October,2025-10-24,E,6415,653,6,55,53,8019,85.54
Garazi Iraia Díaz,October,2025-10-24,E,7348,873,0,39,57,9185,97.98
Enith Urruzola Elexpuru,October,2025-10-24,E,7577,510,3,33,17,9471,101.03
Amaiur Putellas Sampedro,October,2025-10-24,E,6792,768,3,55,42,8490,90.56
Garazi Gil Padrón,October,2025-10-24,E,6320,603,1,53,55,7900,84.28
Adriana Putellas Coll,October,2025-10-24,E,7695,628,3,44,16,9619,102.61
Lola Zubeldia Ojeda,October,2025-10-24,E,6473,520,0,42,52,8092,86.32
Inés Rius Badiola,October,2025-10-26,P,2858,296,15,20,25,3572,30.08
Berta Damaris Zubeldia,October,2025-10-26,P,3499,236,15,39,19,4373,36.83
Triana Duggan Cano,October,2025-10-26,P,11697,906,14,57,17,14621,123.13
Feller Caldentey Rubio,October,2025-10-26,P,11208,1131,13,59,47,14010,117.98
Olga Sampedro Méndez,October,2025-10-26,P,11103,1113,11,12,58,13878,116.88
Esther Banini Valls,October,2025-10-26,P,9889,1146,20,22,43,12362,104.1
Amaia Gutiérrez Peña,October,2025-10-26,P,12652,1245,19,41,50,15815,133.18
Lucía Rodríguez Szymanowski,October,2025-10-26,P,13186,1573,9,59,25,16482,138.8
Sheila Vidal Gabarro,October,2025-10-26,P,13580,1429,2,10,51,16975,142.95
Enith Landaluze Goiria,October,2025-10-26,P,14101,842,5,33,54,17627,148.44
Lorena Méndez Molina,October,2025-10-26,P,11189,1341,3,20,54,13986,117.78
Ivana Pujol Muñoz,October,2025-10-26,P,13763,1231,0,14,45,17204,144.88
Garazi Iraia Díaz,October,2025-10-26,P,13514,1174,15,45,53,16893,142.26
Enith Urruzola Elexpuru,October,2025-10-26,P,14501,897,11,32,48,18127,152.65
Amaiur Putellas Sampedro,October,2025-10-26,P,15380,1170,22,35,12,19225,161.9
Garazi Gil Padrón,October,2025-10-26,P,13859,954,29,59,11,17324,145.89
Adriana Putellas Coll,October,2025-10-26,P,15140,1719,5,29,59,18926,159.38
Lola Zubeldia Ojeda,October,2025-10-26,P,14731,1270,19,37,24,18414,155.07
Inés Rius Badiola,October,2025-10-27,E,2332,232,1,20,46,2915,31.09
Berta Damaris Zubeldia,October,2025-10-27,E,3300,261,2,49,38,4125,44.0
Triana Duggan Cano,October,2025-10-27,E,5279,413,0,49,21,6598,70.39
Feller Caldentey Rubio,October,2025-10-27,E,5560,484,5,13,10,6950,74.14
Olga Sampedro Méndez,October,2025-10-27,E,5555,343,5,29,15,6943,74.07
Esther Banini Valls,October,2025-10-27,E,5775,333,1,36,52,7219,77.01
Amaia Gutiérrez Peña,October,2025-10-27,E,6659,659,5,21,32,8324,88.79
Lucía Rodríguez Szymanowski,October,2025-10-27,E,7414,743,0,54,45,9268,98.86
Sheila Vidal Gabarro,October,2025-10-27,E,7377,848,2,26,35,9221,98.36
Enith Landaluze Goiria,October,2025-10-27,E,6436,517,2,53,45,8045,85.82
Lorena Méndez Molina,October,2025-10-27,E,5727,640,0,45,20,7159,76.37
Ivana Pujol Muñoz,October,2025-10-27,E,7448,865,1,53,41,9310,99.31
Garazi Iraia Díaz,October,2025-10-27,E,6629,788,6,37,48,8287,88.4
Enith Urruzola Elexpuru,October,2025-10-27,E,7406,824,4,32,59,9257,98.75
Amaiur Putellas Sampedro,October,2025-10-27,E,6804,800,7,53,45,8505,90.72
Garazi Gil Padrón,October,2025-10-27,E,6730,746,1,12,30,8412,89.73
Adriana Putellas Coll,October,2025-10-27,E,7651,495,0,55,22,9564,102.03
Lola Zubeldia Ojeda,October,2025-10-27,E,7281,771,3,45,52,9102,97.09
Inés Rius Badiola,October,2025-10-28,E,2692,164,4,14,33,3365,35.89
Triana Duggan Cano,October,2025-10-28,E,5303,582,4,49,46,6629,70.72
Feller Caldentey Rubio,October,2025-10-28,E,4951,426,1,52,22,6189,66.02
Olga Sampedro Méndez,October,2025-10-28,E,6253,437,7,35,31,7816,83.38
Esther Banini Valls,October,2025-10-28,E,6031,328,2,31,35,7539,80.42
Amaia Gutiérrez Peña,October,2025-10-28,E,6462,330,4,24,42,8078,86.17
Lucía Rodríguez Szymanowski,October,2025-10-28,E,7175,610,0,26,53,8968,95.67
Sheila Vidal Gabarro,October,2025-10-28,E,6325,348,2,16,20,7906,84.34
Enith Landaluze Goiria,October,2025-10-28,E,6460,755,5,43,44,8075,86.14
Lorena Méndez Molina,October,2025-10-28,E,5460,348,7,40,36,6825,72.8
Ivana Pujol Muñoz,October,2025-10-28,E,7482,549,7,48,29,9352,99.76
Garazi Iraia Díaz,October,2025-10-28,E,6427,615,3,20,58,8033,85.69
Enith Urruzola Elexpuru,October,2025-10-28,E,6328,668,7,44,37,7910,84.38
Amaiur Putellas Sampedro,October,2025-10-28,E,6544,458,5,49,42,8180,87.26
Garazi Gil Padrón,October,2025-10-28,E,7495,518,2,41,14,9368,99.93
Adriana Putellas Coll,October,2025-10-28,E,7559,539,2,32,22,9449,100.8
Lola Zubeldia Ojeda,October,2025-10-28,E,6803,340,3,55,49,8503,90.71
Inés Rius Badiola,October,2025-10-29,E,2328,130,1,55,34,2910,31.04
Berta Damaris Zubeldia,October,2025-10-29,E,3262,229,3,50,14,4077,43.49
Triana Duggan Cano,October,2025-10-29,E,6102,709,5,32,37,7628,81.37
Feller Caldentey Rubio,October,2025-10-29,E,5732,324,1,47,28,7165,76.43
Olga Sampedro Méndez,October,2025-10-29,E,5908,592,5,55,41,7385,78.78
Esther Banini Valls,October,2025-10-29,E,5680,597,1,31,54,7100,75.74
Amaia Gutiérrez Peña,October,2025-10-29,E,7036,534,0,30,54,8795,93.82
Lucía Rodríguez Szymanowski,October,2025-10-29,E,7420,697,6,18,52,9275,98.94
Sheila Vidal Gabarro,October,2025-10-29,E,7616,541,3,33,24,9520,101.55
Enith Landaluze Goiria,October,2025-10-29,E,7102,806,3,44,42,8878,94.71
Lorena Méndez Molina,October,2025-10-29,E,5921,488,2,53,45,7401,78.95
Ivana Pujol Muñoz,October,2025-10-29,E,7055,666,7,12,49,8819,94.08
Garazi Iraia Díaz,October,2025-10-29,E,6844,452,7,30,29,8555,91.26
Enith Urruzola Elexpuru,October,2025-10-29,E,7593,710,0,39,36,9492,101.25
Amaiur Putellas Sampedro,October,2025-10-29,E,6653,717,6,13,14,8316,88.71
Garazi Gil Padrón,October,2025-10-29,E,6660,598,2,49,29,8326,88.81
Adriana Putellas Coll,October,2025-10-29,E,7581,422,3,21,43,9476,101.08
Inés Rius Badiola,October,2025-10-30,E,3182,178,6,29,15,3977,42.43
Berta Damaris Zubeldia,October,2025-10-30,E,3490,412,4,16,26,4362,46.53
Triana Duggan Cano,October,2025-10-30,E,5825,640,7,13,37,7282,77.68
Feller Caldentey Rubio,October,2025-10-30,E,5332,577,3,15,14,6665,71.1
Olga Sampedro Méndez,October,2025-10-30,E,5526,324,0,33,23,6908,73.69
Esther Banini Valls,October,2025-10-30,E,5160,537,0,51,28,6450,68.81
Amaia Gutiérrez Peña,October,2025-10-30,E,6370,603,5,42,40,7963,84.94
Sheila Vidal Gabarro,October,2025-10-30,E,7097,788,3,25,22,8871,94.63
Enith Landaluze Goiria,October,2025-10-30,E,7623,503,5,39,19,9529,101.64
Lorena Méndez Molina,October,2025-10-30,E,5646,343,3,14,22,7057,75.28
Ivana Pujol Muñoz,October,2025-10-30,E,6379,473,4,38,37,7974,85.07
Garazi Iraia Díaz,October,2025-10-30,E,6530,695,0,37,53,8163,87.07
Enith Urruzola Elexpuru,October,2025-10-30,E,6552,654,2,11,24,8190,87.36
Amaiur Putellas Sampedro,October,2025-10-30,E,6310,336,5,18,16,7887,84.13
Garazi Gil Padrón,October,2025-10-30,E,7230,790,1,15,43,9038,96.41
Adriana Putellas Coll,October,2025-10-30,E,6355,497,2,24,40,7944,84.74
Lola Zubeldia Ojeda,October,2025-10-30,E,6857,788,1,38,32,8572,91.44
Inés Rius Badiola,October,2025-10-31,E,3054,312,0,52,57,3817,40.72
Berta Damaris Zubeldia,October,2025-10-31,E,2867,201,5,31,17,3583,38.23
Triana Duggan Cano,October,2025-10-31,E,5039,455,1,50,51,6298,67.19
Feller Caldentey Rubio,October,2025-10-31,E,6045,541,5,55,10,7557,80.61
Olga Sampedro Méndez,October,2025-10-31,E,5978,640,3,14,17,7472,79.71
Esther Banini Valls,October,2025-10-31,E,6123,379,7,37,13,7653,81.64
Amaia Gutiérrez Peña,October,2025-10-31,E,6936,626,2,52,30,8671,92.49
Lucía Rodríguez Szymanowski,October,2025-10-31,E,6883,679,3,28,54,8603,91.77
Sheila Vidal Gabarro,October,2025-10-31,E,7145,634,4,32,19,8931,95.27
Enith Landaluze Goiria,October,2025-10-31,E,7539,501,6,56,20,9424,100.52
Lorena Méndez Molina,October,2025-10-31,E,5408,382,5,51,45,6760,72.11
Ivana Pujol Muñoz,October,2025-10-31,E,7003,783,2,32,24,8754,93.38
Garazi Iraia Díaz,October,2025-10-31,E,6770,795,7,14,32,8463,90.27
Enith Urruzola Elexpuru,October,2025-10-31,E,6518,501,1,16,19,8147,86.91
Amaiur Putellas Sampedro,October,2025-10-31,E,7205,737,0,35,55,9007,96.08
Garazi Gil Padrón,October,2025-10-31,E,7036,583,3,13,54,8795,93.82
Adriana Putellas Coll,October,2025-10-31,E,7074,725,7,52,40,8842,94.32
Lola Zubeldia Ojeda,October,2025-10-31,E,6306,413,0,19,19,7883,84.09
Inés Rius Badiola,November,2025-11-02,P,3399,381,12,43,12,4248,35.78
Berta Damaris Zubeldia,November,2025-11-02,P,2945,280,22,40,20,3681,31.0
Triana Duggan Cano,November,2025-11-02,P,11903,1065,7,37,29,14879,125.3
Feller Caldentey Rubio,November,2025-11-02,P,11493,879,0,24,53,14366,120.98
Olga Sampedro Méndez,November,2025-11-02,P,12099,737,16,22,24,15123,127.36
Esther Banini Valls,November,2025-11-02,P,10733,1207,25,40,43,13416,112.98
Amaia Gutiérrez Peña,November,2025-11-02,P,15320,1818,5,15,39,19150,161.27
Lorena Méndez Molina,November,2025-11-02,P,10956,594,12,47,25,13695,115.33
Ivana Pujol Muñoz,November,2025-11-02,P,14297,908,12,31,59,17871,150.5
Garazi Iraia Díaz,November,2025-11-02,P,15363,1338,1,24,47,19204,161.72
Enith Urruzola Elexpuru,November,2025-11-02,P,14528,1449,2,14,46,18160,152.93
Garazi Gil Padrón,November,2025-11-02,P,13058,1419,25,43,15,16322,137.46
Adriana Putellas Coll,November,2025-11-02,P,12848,1248,14,28,52,16060,135.24
Lola Zubeldia Ojeda,November,2025-11-02,P,14277,1124,15,53,20,17846,150.28
Berta Damaris Zubeldia,November,2025-11-03,E,3200,372,1,21,15,4000,42.67
Triana Duggan Cano,November,2025-11-03,E,5557,547,6,12,47,6946,74.1
Feller Caldentey Rubio,November,2025-11-03,E,5783,310,0,30,40,7229,77.11
Olga Sampedro Méndez,November,2025-11-03,E,5599,568,4,49,41,6998,74.65
Esther Banini Valls,November,2025-11-03,E,5850,663,1,51,30,7312,78.0
Amaia Gutiérrez Peña,November,2025-11-03,E,6721,379,4,26,58,8402,89.63
Lucía Rodríguez Szymanowski,November,2025-11-03,E,6991,452,2,51,42,8739,93.22
Sheila Vidal Gabarro,November,2025-11-03,E,6650,535,2,26,27,8313,88.67
Enith Landaluze Goiria,November,2025-11-03,E,7158,527,3,37,32,8947,95.44
Ivana Pujol Muñoz,November,2025-11-03,E,6872,378,5,14,37,8590,91.63
Garazi Iraia Díaz,November,2025-11-03,E,7289,434,0,58,40,9111,97.19
Enith Urruzola Elexpuru,November,2025-11-03,E,6728,714,1,19,16,8410,89.71
Amaiur Putellas Sampedro,November,2025-11-03,E,6697,781,5,43,35,8371,89.3
Garazi Gil Padrón,November,2025-11-03,E,7252,859,5,18,48,9065,96.7
Adriana Putellas Coll,November,2025-11-03,E,6909,721,4,17,35,8637,92.13
Lola Zubeldia Ojeda,November,2025-11-03,E,7043,727,7,21,42,8804,93.92
Inés Rius Badiola,November,2025-11-04,E,3049,298,0,23,33,3811,40.65
Berta Damaris Zubeldia,November,2025-11-04,E,2051,134,1,13,24,2563,27.35
Triana Duggan Cano,November,2025-11-04,E,5476,525,1,40,13,6845,73.02
Feller Caldentey Rubio,November,2025-11-04,E,5269,467,6,50,56,6586,70.26
Olga Sampedro Méndez,November,2025-11-04,E,5038,395,4,29,52,6297,67.17
Esther Banini Valls,November,2025-11-04,E,5428,338,3,40,42,6785,72.38
Amaia Gutiérrez Peña,November,2025-11-04,E,6499,578,3,44,15,8124,86.67
Lucía Rodríguez Szymanowski,November,2025-11-04,E,7272,786,0,25,30,9090,96.97
Sheila Vidal Gabarro,November,2025-11-04,E,6429,573,0,32,18,8036,85.73
Enith Landaluze Goiria,November,2025-11-04,E,7671,687,6,26,40,9589,102.28
Lorena Méndez Molina,November,2025-11-04,E,6161,546,4,34,16,7702,82.16
Ivana Pujol Muñoz,November,2025-11-04,E,7669,573,3,50,59,9586,102.26
Garazi Iraia Díaz,November,2025-11-04,E,6954,468,2,44,27,8692,92.72
Enith Urruzola Elexpuru,November,2025-11-04,E,6879,797,3,27,23,8599,91.72
Amaiur Putellas Sampedro,November,2025-11-04,E,7694,887,1,16,27,9618,102.6
Garazi Gil Padrón,November,2025-11-04,E,6637,394,6,13,14,8297,88.5
Lola Zubeldia Ojeda,November,2025-11-04,E,7212,803,7,11,11,9015,96.17
Inés Rius Badiola,November,2025-11-05,E,3494,319,1,36,17,4367,46.59
Berta Damaris Zubeldia,November,2025-11-05,E,2948,350,2,46,11,3685,39.31
Triana Duggan Cano,November,2025-11-05,E,6293,336,4,13,23,7867,83.92
Feller Caldentey Rubio,November,2025-11-05,E,5144,290,3,32,57,6430,68.6
Olga Sampedro Méndez,November,2025-11-05,E,6163,574,1,48,49,7704,82.18
Esther Banini Valls,November,2025-11-05,E,5828,306,4,51,36,7285,77.71
Amaia Gutiérrez Peña,November,2025-11-05,E,7302,653,6,25,58,9128,97.37
Lucía Rodríguez Szymanowski,November,2025-11-05,E,7007,652,6,38,28,8759,93.43
Sheila Vidal Gabarro,November,2025-11-05,E,7281,709,3,43,29,9101,97.09
Enith Landaluze Goiria,November,2025-11-05,E,7350,752,6,45,54,9187,98.0
Lorena Méndez Molina,November,2025-11-05,E,5592,627,1,16,39,6990,74.56
Ivana Pujol Muñoz,November,2025-11-05,E,7545,410,0,12,31,9431,100.6
Garazi Iraia Díaz,November,2025-11-05,E,7498,572,5,25,30,9373,99.99
Enith Urruzola Elexpuru,November,2025-11-05,E,6894,814,0,48,42,8617,91.92
Amaiur Putellas Sampedro,November,2025-11-05,E,7648,544,5,50,24,9560,101.98
Adriana Putellas Coll,November,2025-11-05,E,6624,416,7,38,11,8280,88.33
Lola Zubeldia Ojeda,November,2025-11-05,E,7149,508,2,18,42,8937,95.33
Inés Rius Badiola,November,2025-11-06,E,2985,270,6,30,41,3731,39.8
Berta Damaris Zubeldia,November,2025-11-06,E,2387,221,7,19,50,2983,31.83
Triana Duggan Cano,November,2025-11-06,E,5496,651,0,24,49,6871,73.29
Feller Caldentey Rubio,November,2025-11-06,E,5206,615,3,43,49,6507,69.42
Olga Sampedro Méndez,November,2025-11-06,E,6189,734,3,28,50,7736,82.52
Esther Banini Valls,November,2025-11-06,E,5667,487,3,53,33,7084,75.56
Amaia Gutiérrez Peña,November,2025-11-06,E,6624,467,1,16,48,8280,88.33
Lucía Rodríguez Szymanowski,November,2025-11-06,E,6330,560,4,57,43,7913,84.41
Sheila Vidal Gabarro,November,2025-11-06,E,7534,863,6,51,11,9417,100.46
Enith Landaluze Goiria,November,2025-11-06,E,6312,682,1,10,47,7890,84.16
Lorena Méndez Molina,November,2025-11-06,E,5183,617,7,40,38,6479,69.11
Ivana Pujol Muñoz,November,2025-11-06,E,6732,683,5,53,14,8415,89.76
Garazi Iraia Díaz,November,2025-11-06,E,6452,593,5,14,56,8065,86.04
Enith Urruzola Elexpuru,November,2025-11-06,E,7280,548,1,27,31,9101,97.08
Amaiur Putellas Sampedro,November,2025-11-06,E,7379,654,1,49,30,9224,98.39
Garazi Gil Padrón,November,2025-11-06,E,6901,604,0,41,41,8627,92.02
Adriana Putellas Coll,November,2025-11-06,E,6822,561,3,23,32,8528,90.97
Lola Zubeldia Ojeda,November,2025-11-06,E,6476,673,3,48,59,8096,86.36
Inés Rius Badiola,November,2025-11-07,E,3066,248,3,12,51,3832,40.88
Berta Damaris Zubeldia,November,2025-11-07,E,3191,229,6,57,39,3988,42.55
Triana Duggan Cano,November,2025-11-07,E,5745,411,4,21,34,7181,76.6
Feller Caldentey Rubio,November,2025-11-07,E,6279,358,6,22,42,7849,83.73
Olga Sampedro Méndez,November,2025-11-07,E,5011,282,2,16,17,6263,66.81
Esther Banini Valls,November,2025-11-07,E,5558,443,5,13,38,6948,74.12
Amaia Gutiérrez Peña,November,2025-11-07,E,6484,621,5,54,51,8105,86.46
Lucía Rodríguez Szymanowski,November,2025-11-07,E,6524,664,5,32,26,8155,86.99
Sheila Vidal Gabarro,November,2025-11-07,E,6679,610,1,51,37,8349,89.06
Enith Landaluze Goiria,November,2025-11-07,E,7198,373,4,35,55,8997,95.97
Lorena Méndez Molina,November,2025-11-07,E,5106,329,3,51,22,6383,68.09
Ivana Pujol Muñoz,November,2025-11-07,E,7026,769,5,10,20,8783,93.69
Garazi Iraia Díaz,November,2025-11-07,E,7360,465,3,19,39,9200,98.14
Enith Urruzola Elexpuru,November,2025-11-07,E,6683,448,1,11,55,8353,89.11
Amaiur Putellas Sampedro,November,2025-11-07,E,7448,446,1,43,48,9310,99.31
Garazi Gil Padrón,November,2025-11-07,E,7246,479,6,49,17,9057,96.61
Adriana Putellas Coll,November,2025-11-07,E,7398,664,4,13,48,9248,98.65
Lola Zubeldia Ojeda,November,2025-11-07,E,6962,603,1,21,28,8702,92.83
Inés Rius Badiola,November,2025-11-09,P,2408,169,28,49,27,3010,25.35
Berta Damaris Zubeldia,November,2025-11-09,P,2289,218,28,20,17,2861,24.09
Triana Duggan Cano,November,2025-11-09,P,11176,1226,4,46,24,13971,117.65
Feller Caldentey Rubio,November,2025-11-09,P,12027,1298,3,57,39,15034,126.61
Olga Sampedro Méndez,November,2025-11-09,P,9838,1165,4,48,50,12297,103.56
Esther Banini Valls,November,2025-11-09,P,12278,714,13,16,47,15347,129.24
Amaia Gutiérrez Peña,November,2025-11-09,P,12687,1019,22,23,58,15859,133.56
Lucía Rodríguez Szymanowski,November,2025-11-09,P,13227,1472,3,12,39,16534,139.23
Sheila Vidal Gabarro,November,2025-11-09,P,14538,1303,25,56,58,18173,153.04
Enith Landaluze Goiria,November,2025-11-09,P,12968,1369,12,40,35,16210,136.51
Lorena Méndez Molina,November,2025-11-09,P,12105,870,4,11,59,15132,127.43
Ivana Pujol Muñoz,November,2025-11-09,P,13293,1500,8,10,22,16616,139.93
Garazi Iraia Díaz,November,2025-11-09,P,13623,747,11,59,54,17029,143.41
Enith Urruzola Elexpuru,November,2025-11-09,P,14711,1705,0,46,14,18389,154.86
Amaiur Putellas Sampedro,November,2025-11-09,P,13706,1009,13,29,12,17133,144.28
Garazi Gil Padrón,November,2025-11-09,P,15322,1790,5,37,15,19153,161.29
Adriana Putellas Coll,November,2025-11-09,P,13914,1552,23,40,44,17392,146.47
Lola Zubeldia Ojeda,November,2025-11-09,P,13135,1184,29,20,32,16419,138.27
Inés Rius Badiola,November,2025-11-10,E,2464,295,0,55,47,3080,32.85
Berta Damaris Zubeldia,November,2025-11-10,E,2249,168,6,27,43,2811,29.99
Triana Duggan Cano,November,2025-11-10,E,6217,371,5,55,26,7771,82.9
Feller Caldentey Rubio,November,2025-11-10,E,5689,569,6,52,59,7111,75.86
Olga Sampedro Méndez,November,2025-11-10,E,5908,557,1,38,59,7385,78.78
Esther Banini Valls,November,2025-11-10,E,6166,447,4,12,42,7707,82.21
Amaia Gutiérrez Peña,November,2025-11-10,E,7537,595,2,42,44,9421,100.49
Lucía Rodríguez Szymanowski,November,2025-11-10,E,7217,613,4,33,51,9022,96.24
Sheila Vidal Gabarro,November,2025-11-10,E,6544,356,5,18,18,8180,87.25
Enith Landaluze Goiria,November,2025-11-10,E,7139,652,2,30,41,8924,95.2
Lorena Méndez Molina,November,2025-11-10,E,6237,746,4,44,44,7797,83.17
Ivana Pujol Muñoz,November,2025-11-10,E,7385,419,6,35,30,9232,98.48
Garazi Iraia Díaz,November,2025-11-10,E,6437,676,7,28,32,8046,85.83
Enith Urruzola Elexpuru,November,2025-11-10,E,6386,425,2,45,46,7983,85.16
Amaiur Putellas Sampedro,November,2025-11-10,E,7408,700,6,22,50,9261,98.79
Garazi Gil Padrón,November,2025-11-10,E,6778,721,5,58,41,8472,90.37
Adriana Putellas Coll,November,2025-11-10,E,7394,859,1,59,46,9243,98.59
Lola Zubeldia Ojeda,November,2025-11-10,E,6836,535,3,33,26,8546,91.16
Inés Rius Badiola,November,2025-11-11,E,3219,341,1,50,55,4023,42.92
Berta Damaris Zubeldia,November,2025-11-11,E,3121,341,1,19,26,3901,41.61
Triana Duggan Cano,November,2025-11-11,E,5445,299,4,43,45,6807,72.61
Feller Caldentey Rubio,November,2025-11-11,E,5430,512,7,53,44,6788,72.41
Olga Sampedro Méndez,November,2025-11-11,E,5539,395,0,21,18,6924,73.87
Esther Banini Valls,November,2025-11-11,E,4954,427,5,43,24,6193,66.06
Amaia Gutiérrez Peña,November,2025-11-11,E,7144,374,3,56,39,8930,95.26
Lucía Rodríguez Szymanowski,November,2025-11-11,E,7462,388,4,43,39,9328,99.5
Sheila Vidal Gabarro,November,2025-11-11,E,7572,641,5,10,15,9465,100.96
Enith Landaluze Goiria,November,2025-11-11,E,6911,596,5,15,46,8639,92.16
Lorena Méndez Molina,November,2025-11-11,E,5674,308,3,11,27,7092,75.66
Ivana Pujol Muñoz,November,2025-11-11,E,6787,565,6,16,42,8484,90.5
Garazi Iraia Díaz,November,2025-11-11,E,7192,433,4,45,21,8990,95.9
Enith Urruzola Elexpuru,November,2025-11-11,E,6821,397,2,59,13,8527,90.96
Amaiur Putellas Sampedro,November,2025-11-11,E,6961,500,0,36,29,8701,92.82
Garazi Gil Padrón,November,2025-11-11,E,7121,357,2,58,25,8901,94.95
Adriana Putellas Coll,November,2025-11-11,E,7113,847,1,15,19,8891,94.85
Lola Zubeldia Ojeda,November,2025-11-11,E,7006,421,2,44,24,8757,93.41
Inés Rius Badiola,November,2025-11-12,E,2079,169,4,23,51,2598,27.72
Berta Damaris Zubeldia,November,2025-11-12,E,3413,265,2,41,54,4266,45.51
Triana Duggan Cano,November,2025-11-12,E,5075,523,7,55,31,6344,67.68
Feller Caldentey Rubio,November,2025-11-12,E,4971,496,1,36,17,6214,66.28
Olga Sampedro Méndez,November,2025-11-12,E,5952,590,7,39,49,7440,79.37
Esther Banini Valls,November,2025-11-12,E,5209,420,3,18,40,6511,69.46
Amaia Gutiérrez Peña,November,2025-11-12,E,7213,630,4,13,29,9017,96.18
Lucía Rodríguez Szymanowski,November,2025-11-12,E,7218,434,2,13,47,9023,96.25
Sheila Vidal Gabarro,November,2025-11-12,E,7065,371,6,36,23,8832,94.21
Enith Landaluze Goiria,November,2025-11-12,E,7195,846,0,36,42,8994,95.94
Lorena Méndez Molina,November,2025-11-12,E,4909,563,1,51,53,6136,65.46
Ivana Pujol Muñoz,November,2025-11-12,E,6514,457,3,43,29,8143,86.86
Garazi Iraia Díaz,November,2025-11-12,E,7251,753,5,34,19,9064,96.68
Enith Urruzola Elexpuru,November,2025-11-12,E,6753,514,3,40,12,8441,90.05
Amaiur Putellas Sampedro,November,2025-11-12,E,6347,393,0,26,43,7934,84.63
Garazi Gil Padrón,November,2025-11-12,E,6454,708,0,43,38,8067,86.06
Adriana Putellas Coll,November,2025-11-12,E,6383,536,1,42,37,7979,85.11
Lola Zubeldia Ojeda,November,2025-11-12,E,7236,675,2,24,30,9045,96.48
Inés Rius Badiola,November,2025-11-13,E,2436,155,6,38,20,3045,32.48
Berta Damaris Zubeldia,November,2025-11-13,E,2944,259,6,35,54,3680,39.25
Triana Duggan Cano,November,2025-11-13,E,5908,518,4,36,16,7385,78.78
Feller Caldentey Rubio,November,2025-11-13,E,5918,616,3,11,52,7397,78.91
Olga Sampedro Méndez,November,2025-11-13,E,5958,618,7,17,42,7448,79.45
Lucía Rodríguez Szymanowski,November,2025-11-13,E,6613,625,0,16,58,8267,88.18
Sheila Vidal Gabarro,November,2025-11-13,E,6798,376,5,56,46,8498,90.65
Enith Landaluze Goiria,November,2025-11-13,E,7019,534,6,50,22,8774,93.59
Lorena Méndez Molina,November,2025-11-13,E,5414,538,6,56,52,6767,72.19
Ivana Pujol Muñoz,November,2025-11-13,E,7083,672,6,54,25,8854,94.45
Garazi Iraia Díaz,November,2025-11-13,E,7541,413,6,22,51,9426,100.55
Enith Urruzola Elexpuru,November,2025-11-13,E,6910,804,7,12,52,8638,92.14
Amaiur Putellas Sampedro,November,2025-11-13,E,6368,610,5,58,33,7961,84.92
Garazi Gil Padrón,November,2025-11-13,E,6331,617,3,38,48,7913,84.41
